Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Katie,https://hendersoncollegiateorg.finalsite.com/uploaded/technology/appletvslideshow/katie-scaled.jpg,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Attentive,https://hendersoncollegiateorg.finalsite.com/uploaded/technology/appletvslideshow/attentive-scaled.jpg,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
ColdCall,https://hendersoncollegiateorg.finalsite.com/uploaded/technology/appletvslideshow/coldcall-scaled.jpg,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Douglas,https://hendersoncollegiateorg.finalsite.com/uploaded/technology/appletvslideshow/douglas-scaled.jpg,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Garcia,https://hendersoncollegiateorg.finalsite.com/uploaded/technology/appletvslideshow/garcia.jpg,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
HappyKids,https://hendersoncollegiateorg.finalsite.com/uploaded/technology/appletvslideshow/happykids-scaled.jpg,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Ky,https://hendersoncollegiateorg.finalsite.com/uploaded/technology/appletvslideshow/ky-scaled.jpg,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
TallHands,https://hendersoncollegiateorg.finalsite.com/uploaded/technology/appletvslideshow/tallhands-scaled.jpg,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Tech,https://hendersoncollegiateorg.finalsite.com/uploaded/technology/appletvslideshow/tech-scaled.jpg,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Ashley,https://hendersoncollegiateorg.finalsite.com/uploaded/technology/appletvslideshow/ashley-scaled.jpg,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
HSSmile,https://hendersoncollegiateorg.finalsite.com/uploaded/technology/appletvslideshow/hs-smile.jpg,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Love,https://hendersoncollegiateorg.finalsite.com/uploaded/technology/appletvslideshow/love-scaled.jpg,0:00:20,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
